Player,Game Type,Rk,G,Date,Age,Tm,Venue,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Game
Kareem Abdul Jabbar,Regular Season,1,1,10/18/69,22-185,MIL,,DET,W (+9),,48:00:00,12,27,0.444,,,,5,8,0.625,,,12,6,,,,5,29,1
Kareem Abdul Jabbar,Regular Season,2,2,10/19/69,22-186,MIL,,SEA,W (+24),,29:00:00,9,14,0.643,,,,1,1,1,,,11,5,,,,6,19,2
Kareem Abdul Jabbar,Regular Season,3,3,10/22/69,22-189,MIL,@,SDR,W (+13),,42:00:00,15,26,0.577,,,,6,10,0.6,,,19,3,,,,6,36,3
Kareem Abdul Jabbar,Regular Season,4,4,10/24/69,22-191,MIL,@,LAL,L (-11),,48:00:00,9,21,0.429,,,,5,9,0.556,,,20,2,,,,3,23,4
Kareem Abdul Jabbar,Regular Season,5,5,10/25/69,22-192,MIL,@,SFW,L (-14),,42:00:00,7,20,0.35,,,,2,3,0.667,,,5,2,,,,1,16,5
Kareem Abdul Jabbar,Regular Season,6,6,10/26/69,22-193,MIL,@,PHO,W (+20),,47:00:00,13,23,0.565,,,,2,2,1,,,12,2,,,,3,28,6
Kareem Abdul Jabbar,Regular Season,7,7,10/28/69,22-195,MIL,,BOS,L (-13),,47:00:00,14,30,0.467,,,,15,19,0.789,,,14,4,,,,3,43,7
Kareem Abdul Jabbar,Regular Season,8,8,10/30/69,22-197,MIL,@,DET,W (+21),,38:00:00,7,16,0.438,,,,9,13,0.692,,,19,2,,,,6,23,8
Kareem Abdul Jabbar,Regular Season,9,9,10/31/69,22-198,MIL,@,PHI,W (+4),,44:00:00,9,18,0.5,,,,7,11,0.636,,,18,9,,,,6,25,9
Kareem Abdul Jabbar,Regular Season,10,10,11/1/69,22-199,MIL,@,NYK,L (-4),,48:00:00,15,35,0.429,,,,6,11,0.545,,,27,1,,,,3,36,10
Kareem Abdul Jabbar,Regular Season,11,11,11/3/69,22-201,MIL,,NYK,L (-16),,38:00:00,7,20,0.35,,,,3,4,0.75,,,16,1,,,,5,17,11
Kareem Abdul Jabbar,Regular Season,12,12,11/8/69,22-206,MIL,,DET,W (+4),,,10,25,0.4,,,,9,11,0.818,,,22,,,,,0,29,12
Kareem Abdul Jabbar,Regular Season,13,13,11/9/69,22-207,MIL,,BAL,L (-11),,48:00:00,10,22,0.455,,,,4,7,0.571,,,16,4,,,,4,24,13
